"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
4,4,4,4,3,4,4,2,2,2,2,3,4,2,4,5,2,1,4,3,2,4,2,1,5,1,4,"GB",1
4,3,3,4,1,2,4,2,4,4,5,4,2,2,5,4,4,3,2,2,2,1,2,4,2,2,1,"US",1
5,4,4,4,5,5,4,2,4,4,1,5,2,5,1,5,2,5,3,5,5,2,4,4,1,4,5,"US",3
2,4,4,4,5,5,4,4,5,4,2,2,5,4,2,4,2,4,3,2,4,4,5,4,2,4,4,"NL",2
4,4,4,4,4,4,4,4,5,4,1,2,3,4,1,4,2,4,4,2,5,2,4,4,2,4,5,"US",1
5,5,4,5,4,5,5,3,4,3,5,3,2,3,4,1,4,3,4,3,5,2,4,4,2,1,3,"GB",1
5,5,5,5,5,5,5,4,5,3,3,3,4,4,1,4,2,3,3,2,1,1,4,4,5,3,3,"GB",1
5,5,5,4,5,5,5,5,5,5,1,5,5,4,1,5,1,4,4,2,4,3,5,4,2,5,5,"US",1
4,4,3,5,5,3,5,4,5,3,2,3,4,5,2,5,4,5,4,1,5,5,5,4,2,5,4,"US",1
4,4,5,5,2,1,5,2,4,4,1,1,5,5,2,1,1,5,4,4,2,1,3,1,2,3,3,"US",2
5,3,3,4,3,3,5,4,4,5,2,1,2,4,2,4,2,3,2,2,3,2,4,2,5,1,2,"SE",2
3,0,3,2,2,3,3,2,3,4,3,3,2,4,3,2,2,3,2,4,2,2,2,2,4,2,2,"US",3
3,2,1,1,1,1,3,2,3,4,3,3,3,1,2,2,4,3,2,3,2,2,1,1,5,1,1,"IN",1
5,4,3,5,4,4,5,3,4,2,5,2,4,3,5,1,1,4,2,5,3,2,2,3,5,1,2,"GB",1
5,3,2,4,4,4,4,2,4,4,3,3,3,4,2,4,2,4,4,4,4,2,4,4,2,2,2,"US",3
4,3,3,1,1,0,4,2,3,4,4,2,1,4,2,2,4,3,1,5,1,1,3,1,5,3,3,"US",1
3,4,5,5,4,4,5,1,4,1,5,2,3,5,5,1,4,5,1,5,1,2,4,2,5,1,1,"US",1
4,5,3,4,4,5,5,4,4,4,2,4,3,3,3,4,3,3,3,3,2,4,4,3,2,3,4,"AU",1
5,1,1,3,3,1,5,1,5,3,1,1,5,3,5,1,3,3,1,5,1,1,5,1,1,1,5,"US",2
4,1,2,4,2,2,4,4,4,2,4,5,2,4,4,2,4,3,2,4,2,2,4,2,5,1,1,"FI",3
3,1,1,1,1,1,4,1,3,3,4,1,3,3,5,1,5,1,1,5,1,1,1,1,5,1,1,"US",1
4,4,3,4,1,4,4,3,4,3,5,1,1,4,5,3,5,3,5,4,2,1,3,3,2,1,4,"GB",3
3,5,4,4,4,4,5,3,5,2,5,2,3,2,5,2,5,3,4,5,4,1,5,4,4,3,2,"US",3
3,3,4,4,2,4,5,4,4,3,2,2,3,3,3,3,3,3,2,2,3,2,4,3,2,3,5,"US",3
3,2,5,2,1,2,3,3,3,2,4,1,2,3,3,2,4,2,2,5,3,1,4,2,4,2,2,"US",1
4,3,3,3,2,4,4,3,2,2,4,2,2,3,4,2,4,3,3,4,2,2,3,3,4,2,3,"MY",1
2,4,3,4,2,4,4,2,4,3,4,2,3,2,4,3,2,2,2,2,2,2,3,2,1,1,2,"US",1
5,4,3,4,1,1,5,4,5,1,5,1,1,3,4,1,2,1,3,5,1,4,4,1,5,1,2,"US",3
5,4,5,4,1,5,5,4,5,2,3,2,1,2,5,1,1,1,3,5,3,1,5,2,1,1,1,"IE",3
5,4,4,4,4,4,4,2,5,4,3,2,4,4,2,4,1,2,2,4,4,2,4,2,4,1,2,"DE",1
5,3,3,3,3,4,4,3,4,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,5,1,"CA",3
4,2,3,2,3,3,2,3,2,3,4,2,3,2,5,2,4,2,2,5,2,3,3,2,5,1,1,"CA",1
5,5,4,4,5,5,5,5,5,3,5,2,5,3,4,5,3,4,3,4,2,1,5,3,4,1,3,"US",1
5,4,4,4,5,4,4,4,5,4,1,4,4,5,2,4,1,4,4,3,2,4,4,3,2,4,3,"US",1
2,1,2,3,1,2,2,2,3,3,4,2,2,2,4,2,3,2,2,3,2,1,3,2,3,4,1,"US",1
